消息发生时间,[消息发布时间][时间_系统RTC],[消息发布者ID][功能单元ID],[主备状态],[数据生成时间][时间_任务时间],[数据生成时间1][时间_任务时间],[有效性_俯仰角],[有效性_横滚角],[有效性_真航角],[有效性_俯仰角速率],[有效性_横滚角速率],[有效性_航向角速率],[有效性_俯仰角加速度],[有效性_横滚角加速度],[有效性_航向角加速度],[有效性_速度北向],[有效性_速度西向],[有效性_速度天向],[有效性_加速度北向],[有效性_加速度西向],[有效性_加速度天向],[有效性_惯性攻角],[有效性_惯性侧滑角],[有效性_偏流角],[有效性_航迹角],[有效性_位置],[有效性_惯性气压高度],[有效性_地速],[载机俯仰角][_角度_毫弧度],[载机横滚角][_角度_毫弧度],[载机真航角][_角度_毫弧度],[载机俯仰角速率][_角速率],[载机横滚角速率][_角速率],[载机航向角速率][_角速率],[载机俯仰角加速度][_角加速度],[载机横滚角加速度][_角加速度],[载机航向角加速度][_角加速度],[载机平台系速度][速度_北向][_速度],[载机平台系速度][速度_西向][_速度],[载机平台系速度][速度_天向][_速度],[载机平台系加速度][加速度_北向][_加速度],[载机平台系加速度][加速度_西向][_加速度],[载机平台系加速度][加速度_天向][_加速度],[载机惯性攻角][_角度_毫弧度],[载机侧滑角][_角度_毫弧度],[载机偏流角][_角度_毫弧度],[载机航迹角][_角度_毫弧度],[载机爬升角][_角度_毫弧度],[载机位置数据][_纬度],[载机位置数据][_经度],[载机惯性气压高度][_高度],[载机惯性气压参考高度][_高度],[载机地速][_速度]
45:03.2,1.74957E+12,FU_058,1,1.74953E+12,1.7495E+12,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,-370.35,1230.91,527.32,39.224,-97.053,65.833,-47.37,43.5,-25.448,162.75,131.57,266.52,-0.318,2.94,31.418,-1579.15,-894.75,-504.58,1361.23,-3015.68,24.163653,-37.076711,5195.8,1870.7,436.58
33:57.0,1.74958E+12,FU_080,0,1.74955E+12,1.74951E+12,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,-2003.71,-2876.42,-500.84,46.65,-96.862,73.922,-10.105,37.567,25.267,72.07,-799.93,-325.79,1.516,37.496,40.535,1015.87,419.86,1643.87,1696.95,437.79,-69.089244,22.613908,1497,8143.5,860.63
43:17.5,1.74958E+12,FU_030,0,1.74957E+12,1.74958E+12,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,-1423.36,1929.08,355.14,40.5,55.333,87.642,-28.414,-40.89,9.486,-772.89,448.65,-490.09,25.962,44.968,-47.314,-2588.9,-2896.98,2278.96,-125.95,2648.69,78.567196,-95.315207,6924.7,7912.5,889.84
59:04.9,1.74956E+12,FU_058,0,1.74959E+12,1.74951E+12,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,-903.1,-380.36,-358.57,-36.754,-30.842,12.073,-29.413,41.488,26.514,-100.72,-647.75,-893.35,-19.475,-42.405,-40.797,2418.04,617.56,444.47,1488.85,1316.51,20.979542,5.693796,7019,1959.7,165.28
30:33.6,1.74952E+12,FU_070,1,1.74958E+12,1.74957E+12,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,2716.24,-2189.95,1063.3,10.859,76.297,76.853,-46.888,39.213,-8.115,151.78,-426.48,-801.25,-38.148,27.163,42.313,2488.58,-265.27,-1374.05,1545.78,2967.48,11.818229,68.066393,8561.5,6228.9,497.54
35:14.1,1.74952E+12,FU_038,0,1.74953E+12,1.7496E+12,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,-2693.74,-386.95,1755.76,-89.107,83.215,1.856,-34.705,-19.329,-13.662,-929.14,605.11,122.6,12.278,3.207,11.798,2866.17,-1655.07,2170.65,-3132.82,-2807.22,5.189773,-49.901041,9782.2,9444.9,802.04
04:59.2,1.74954E+12,FU_052,0,1.7495E+12,1.74957E+12,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,-2308.48,2691.12,3064.45,7.025,89.26,14.379,23.821,-42.47,31.282,-177.68,-4.27,690.26,24.705,-2.473,1.649,-1163.52,-2089.42,2208.86,-2938.77,1817.94,17.980388,172.377428,9127,3602.8,545.67
51:32.0,1.74953E+12,FU_089,0,1.74952E+12,1.74953E+12,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1736.53,-684.19,-210.85,-43.469,82.45,97.14,49.265,31.89,44.017,794,967.01,769.65,46.14,49.558,3.585,-648.72,1305.7,1992.95,2477.66,-2802.41,-72.923349,-60.453358,2541.6,9641.3,97.96
16:19.7,1.74955E+12,FU_017,0,1.74957E+12,1.74955E+12,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1800.31,1814.1,1099.02,-84.485,-33.189,54.646,-30.156,-30.02,49.746,514.25,345.3,-390.27,-29.045,43.238,-43.015,-2268.69,-254.91,-1415.95,-2066.76,2593.29,-45.551914,23.425382,5281.4,8803.6,100.33
28:19.0,1.74953E+12,FU_059,0,1.74958E+12,1.74957E+12,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1197.46,2376.63,2891.93,69.963,-14.663,-6.981,-30.548,32.249,48.978,696,587.78,-443.95,20.384,5.916,44.77,707.79,-62.41,37.6,-962.12,-1575.72,-48.375469,-79.854108,4809.1,3936.4,581.04
31:27.2,1.74951E+12,FU_098,0,1.74956E+12,1.74957E+12,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1683.88,-365.78,-1532.75,43.662,-28.87,98.785,20.459,-38.738,38.159,308.23,946.64,-891.34,43.298,16.826,-31.34,2197.05,-530.5,-1509.91,-2981.54,-532.46,87.664227,162.387206,8550.6,9241.5,706.02
23:00.3,1.74954E+12,FU_023,1,1.74957E+12,1.74958E+12,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1548.8,-1420.81,1284.17,-48.961,83.063,-0.301,39.763,41.971,29.147,824.7,451.99,-305.98,-4.255,44.264,-32.331,537.61,-626.57,684.75,766.62,3093.37,-51.817088,111.278442,2308.1,933.7,955.88
09:38.0,1.74953E+12,FU_013,1,1.74956E+12,1.74957E+12,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1830.77,2987.75,2225,-13.408,-36.137,-60.808,-49.46,-17.954,48.646,-111.13,-841.59,623.32,-38.742,-32.366,36.076,2194.02,566.45,2398.85,78.89,-2796.06,-20.476927,108.696194,1443.2,7580.5,831.38
00:00.1,1.74956E+12,FU_075,1,1.74954E+12,1.74956E+12,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,947.34,999.67,828.74,-6.514,-7.387,-48.337,23.872,31.315,-48.003,668.54,-746.77,-848.99,-6.296,-41.093,16.821,437.5,1203.26,-269.87,-980.74,2092.61,38.667696,169.643278,4504.7,1881.3,538.85
01:46.1,1.74953E+12,FU_067,0,1.74952E+12,1.74955E+12,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,2572.54,-2444.93,-2562.2,64.982,11.52,53.825,30.14,-39.38,16.772,45.39,26.3,128.8,-49.755,1.989,43.105,-2206.33,-157.61,-1805.03,3048.52,2758.82,69.429462,-48.8594,1261.1,3557,620.07
23:18.4,1.74959E+12,FU_093,1,1.74959E+12,1.74951E+12,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2398.58,363.82,-1126.3,89.874,32.529,-20.226,42.586,-44.909,-23.736,-810.87,-2.79,-669.96,6.757,-44.048,37.145,2064.22,-1677.79,576.35,2469.61,-1119.41,32.337005,-83.524439,6922,3565.8,665.27
23:16.2,1.74958E+12,FU_089,0,1.74954E+12,1.74959E+12,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,-624.93,-2811.52,557.85,-35.472,-76.831,75.933,-41.926,-24.361,22.487,-108.85,707.59,-157.26,34.238,12.331,10.951,-493.91,-2213.17,-1783.68,2002.89,2355.76,-79.97454,95.933008,3712.2,3451.5,921.87
03:32.3,1.74957E+12,FU_043,1,1.74955E+12,1.74953E+12,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1508.6,-2721.01,-2198.59,-55.827,-8.957,-62.22,-48.295,17.865,-12.386,5.48,-234.56,222.78,39.482,-32.022,-17.576,483.37,149.4,717.54,2639.47,-2793.45,-83.927552,-7.829539,1773.6,9736.2,493.14
30:05.2,1.74959E+12,FU_083,0,1.74958E+12,1.74953E+12,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,-296.62,2523.31,-1049.39,-92.144,-11.26,61.899,-1.775,-35.321,24.516,-963.26,704.79,27.58,-34.975,21.099,-20.551,-948.05,51.73,2882.38,817.58,-1129.57,-2.246329,109.999575,5859,9200.8,963.97
46:18.3,1.74954E+12,FU_039,0,1.74958E+12,1.74958E+12,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,380.46,-160.98,-300.08,79.059,-40.621,59.876,-24.265,-7.893,-33.103,-691.26,30.48,931.08,-10.624,43.529,-22.845,-1233.09,-340.21,-785.28,-1121.43,-2965.47,-38.434649,54.207883,1523.8,9503.8,228.72
17:03.3,1.74958E+12,FU_082,1,1.74952E+12,1.74955E+12,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,-1898.57,2103.45,2341.65,2.544,-22.075,27.368,-36.519,-29.378,-20.665,-425.36,-767.87,-526.01,-24.029,9.288,36.771,952.82,2785.93,-2762.04,-657.5,-2949.98,35.219565,-20.197632,9824.5,7829.2,133.36
19:44.2,1.74959E+12,FU_099,1,1.74953E+12,1.74958E+12,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,-215.59,-2141.31,-2057.84,-66.812,63.885,31.399,-23.878,37.593,13.12,-68.28,-327.97,792.17,-47.532,-12.916,3.968,1319.27,1351.6,-1818.82,-636.24,1825.22,-51.662453,40.400996,4718.8,7263.1,762.47
18:13.1,1.74958E+12,FU_061,0,1.74954E+12,1.74953E+12,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1368.6,-2786.55,2489.71,-56.413,-91.432,-46.126,-22.353,-40.158,38.069,491.7,723.3,-72.36,-35.521,-26.267,35.221,3107.2,-1384.09,-1125.99,3082.2,45.12,1.427343,20.898198,7589.8,2937.5,358.33
14:20.4,1.74955E+12,FU_061,0,1.74953E+12,1.74955E+12,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,-215.26,-944.18,3051.16,77.424,17.179,22.705,-43.198,-16.491,-46.372,-688.98,584.01,415.67,-23.73,47.28,-22.496,98.82,330.75,1714.61,-69.86,785.57,-40.691043,41.114651,5359.4,4787.7,577.72
02:50.2,1.74954E+12,FU_047,1,1.74958E+12,1.74956E+12,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,-291.1,-1286.55,1235.71,75.273,80.624,78.53,-26.584,-32.178,28.546,-62.34,-981.6,-421.46,8.854,-16.194,23.113,1566.32,-539.76,-2371.8,-2566.37,-342.78,-7.058306,-132.763948,2982.4,142.1,700.46
17:51.3,1.74956E+12,FU_001,1,1.74952E+12,1.74959E+12,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,-2109.8,839.44,1564.78,70.985,-16.709,30.931,-8.343,-6.175,-30.386,-41.85,258.54,978.56,3.039,-46.547,24.051,-1137.51,2957.98,1015.58,1234.86,334.48,66.709854,84.646776,2119.2,3284,678.9
00:15.7,1.74952E+12,FU_024,0,1.74956E+12,1.74954E+12,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,-83.91,-888.72,-2006.77,-24.735,-34.533,-90.441,-48.962,37.694,-41.934,773.22,-46.23,447.88,-43.725,3.203,-4.384,-1122.04,-661.02,-1203.1,2949.37,1421.23,2.991329,-164.765487,7795.5,6426.8,947.81
15:48.9,1.74953E+12,FU_048,1,1.74955E+12,1.7495E+12,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,2513.04,-1014.8,-2170.44,79.361,-45.288,-54.37,1.509,49.46,-26.549,-100.97,-757.09,809.52,-45.935,26.471,4.363,-130.64,-1494.32,1427.53,-2362.79,-2291.21,-63.279489,-68.38491,3319.5,8576.6,658.39
59:56.7,1.7495E+12,FU_092,1,1.74952E+12,1.74952E+12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1785.16,-2816.2,-2959.35,7.191,26.072,-63.079,-34.283,-28.384,-10.103,-411.71,701.03,-260.88,49.105,0.991,-15.632,2074.79,2376.74,-401.18,-668.82,2793.25,-61.467249,64.810869,2523.1,8811.6,449.58
30:37.4,1.74958E+12,FU_070,1,1.74954E+12,1.74955E+12,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,2995.81,-662.33,2245.46,-21.102,58.127,73.962,39.069,35.027,16.764,223.19,495.52,-897.89,-3.546,-21.837,-5.522,-225.97,-3076.06,-1848.48,-53.22,-3057.82,-72.353436,-96.96273,1297.1,8279.8,640.49
52:54.9,1.74956E+12,FU_048,1,1.74953E+12,1.74952E+12,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2021.52,1472.09,2035.34,-21.088,-22.392,6.159,24.691,-5.453,41.251,-41.07,805.87,-331.37,46.939,31.133,26.974,1666.87,2304.2,-3139.88,-1040.62,-2311.1,60.087327,-88.714794,6179.6,952.9,987.23
49:44.8,1.74951E+12,FU_017,1,1.74956E+12,1.7495E+12,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1857.04,1874.5,-803.62,-72.51,-11.075,28.023,32.757,37.324,-13.366,-276.58,-197.26,-139.37,25.207,7.942,-32.464,-2111.84,-2816.51,-454.34,785.9,-1343.78,-89.035881,49.954552,822.8,2533.8,687.5
19:49.3,1.74958E+12,FU_026,0,1.74956E+12,1.74952E+12,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,-1142.2,-476.55,-1772.96,79.694,-91.434,-66.547,-48.775,17.63,23.198,598.88,-174.75,-174.98,7.08,-21.495,20.285,384.33,-3049.57,1702.78,-755.53,1147.15,39.070207,87.440156,1966.6,4173.5,424.93
16:22.8,1.74953E+12,FU_087,0,1.74957E+12,1.74953E+12,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1168.07,-2009.96,-1486.7,27.71,43.538,-1.446,34.611,31.033,-43.525,-294.19,864.47,598.14,-26.837,32.919,-1.055,-1482.55,-68.07,1520.75,-2770.67,-2658.86,61.328036,63.045322,8420.3,3531.8,209.45
39:51.9,1.74952E+12,FU_039,1,1.74956E+12,1.74956E+12,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,681.42,2629.64,-3140.16,-0.087,-38.093,-69.588,-8.28,24.893,29.834,-295.57,564.86,-967.71,-29.093,-15.551,-24.882,-1881.34,-1213.46,-1193.22,1991.08,-2782.42,-37.94926,6.474906,9841.5,569.6,877.51
23:44.5,1.74958E+12,FU_100,1,1.74953E+12,1.74957E+12,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1968.66,1370.3,1121.18,33.385,-71.522,-84.807,-24.044,22.413,-0.348,827.83,369.54,-546.48,0.262,-41.427,-26.801,-938.57,-227.55,294.18,-2976.5,3080.32,87.47097,84.752399,1063.8,7958.8,3.98
50:40.8,1.74958E+12,FU_056,1,1.74953E+12,1.74958E+12,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,-1263.8,-2491.57,2568.41,-49.868,66.315,-93.466,-30.495,-31.585,-47.853,111.24,-699.11,586.55,-43.051,-13.88,7.814,-2518.83,994.9,85.43,2829.19,1182.81,64.173558,131.699929,4793.6,1334.8,955.11
